"English","Egyptian Arabic Script","Egyptian Arabic Transliterated"
"Here is good","هنا زي الفل","Hena zayy el fel"
"Can you stop here?","هل تقدر توقف هنا؟","Hal tageed tawaqaf hena?"
"I'll pay cash","هدفع كاش","Hadfu' cash"
"I like the music","أنا بحب الموسيقى","Ana baheb el-musiqa"
"I don't understand","مش فاهم","Mesh fahem"
"I didn't get that","مش فاهم دا","Mesh fahem da"
"My Arabic is very bad","عربيتي سيئة جدًا","'Arabiyyati sayyiatun jiddan"
"Excuse me","إسمحلي","Ismaḥli"
"My Arabic is not good","عربيتي مش زينة","'Arabiyyati mish zeina"
"I'm learning Arabic","أنا بتعلم عربي","Ana bata'alam 'arabi"
"Can you repeat that?","هتعيدها تاني؟","Hat'eedha tani?"
"Can you speak slower, please?","هتحك ببطء من فضلك؟","Hathekk bibata' min fadlik?"
"Can you say that in English?","هتقول ده بالإنجليزي؟","Hatequl da bil-Injilizi?"
"Do you speak English?","أنت بتحك إنجليزي؟","Enta bet-hak Ingleezi?"
"What is [XX] in Arabic?","إيه [XX] بالعربية؟","Eh [XX] bil-'arabiyya?"
"One [XX], please.","واحد [XX]، من فضلك.","Wahid [XX], min fadlik."
"What do you recommend?","أنت بتنصح بإيه؟","Inta betnasaḥ be eh?"
"That, please.","ده، من فضلك.","Da, min fadlik."
"What is this?","ديه إيه؟","Di eh?"
"Is this vegetarian?","ده نباتي؟","Da nabati?"
"Do you have [XX]?","عندك [XX]؟","'Andak [XX]?"
"The menu, please.","القائمة، من فضلك.","Al-qa'ima, min fadlik."
"Not too spicy, please.","مش حارة إلى هذا الحد، من فضلك.","Mesh hara ila hada el-hadd, min fadlik."
"Two Turkish coffee, light, with a bit of sugar.","قهوتي تركية، خفيفة، مع قليل من السكر.","Qahwati turkiyya, khafifa, ma' qaleel min as-sukar."
"Can I pay with card?","أقدر أدفع بالكارت؟","Aqdar adfa' b-il-kart?"
"The bill, please.","الفاتورة، من فضلك.","Al-fatura, min fadlik."
"We would like to pay, please.","إحنا عايزين ندفع، من فضلك.","Ehna ayezeen nadfa', min fadlik."
"Do you have anything vegetarian?","عندكوا حاجة نباتية؟","'Andokou haga nabatiya?"
"Everything ok? (security check)","كل حاجة تمام؟","Kol haga tamam?"
"Is this ok?","ده تمام؟","Da tamam?"
"This is just food.","ده بس طعام.","Da bas ta'am."
"Here you go. (showing something)","تفضل/تفضلي.","Tafaddal/tafaddali."
"Which lanes are free? (referring to swimming pool lanes)","أيه المسارات الفاضية؟","Ayya al-masaarat al-faadiah?"
"How long is it open? (referring to operating hours)","إلى متى هيفتحوا؟","Ila mata haftehu?"
"How much time is left?","فاضل قد ايه من الوقت؟","Fadel gedaya men al-waqt?"
"Here is my homework.","ده واجبي المدرسي.","Da wajibi al-madrisi."
"I need to go to the bathroom.","أنا محتاج أروح الحمام.","Ana mohtaaj aruh al-hammam."
"Where is room XX?","غرفة XX فين؟","Ghorfa XX fein?"
"Good night","تصبح على خير","Tusbih 'ala khayr"
"What's up?","إيه الأخبار؟","Eh il-akhbar?"
"How are you?","إزيك؟","Ezayak?"
"Pleasure","متشرف بمعرفتك","Matsharraf bima'riftek"
"What's your name?","إسمك إيه؟","Ismak eh?"
"I'm good, how are you?","أنا تمام، إزيك؟","Ana tamam, ezayak?"
"And you?","وأنت؟","Wa anta?"
"Do you live in Cairo?","أنت ساكن في القاهرة؟","Inta sakkin fi al-Qahira?"
"How much is a ticket to XX?","فلوس التذكرة لـXX كام؟","Fulus it-tadhkara lil XX kam?"
"One ticket to XX, please.","تذكرة واحدة لـXX، من فضلك.","Tadhkirat wahida lil XX, min fadlik."
"I need two tickets to XX.","أنا محتاج تذكرتين لـXX.","Ana mohtaaj tadhkiratayn lil XX."
"I study at an Egyptian university, do I get the Egyptian price?","أنا بدرس في جامعة مصرية، هتديني السعر المصري؟","Ana biddrus fi jami'ah masriyya, hatdeeni as-si'r al-masri?"
"Is it open?","المكان مفتوح؟","El-makan muftuḥ?"
"Where do I go?","أنا أروح فين؟","Ana aruh fein?"
"Does this bus go to XXX?","الأتوبيس ده بيروح لـXXX؟","El-otobis dah bi-ruh lel-XXX?"
